h2p_row;h2p_label;h2p_value;param_id;param_descript1;param_descript2;scale_function;norm_function;gate;;
400;Wow;50.00;245; Delay2; Wow;scale_float_0_100;norm_float_0_100;;;
401;#cm;Rtary2;;;;;;;;
402;Mode;0;246; Rtary2; Mode;scale_int_0_2;norm_int_0_2;;;
403;Mix;100.00;247; Rtary2; Mix;scale_float_0_100;norm_float_0_100;;;
404;Bal;50.00;248; Rtary2; Balance;scale_float_0_100;norm_float_0_100;;;
405;Drive;0.00;249; Rtary2; Drive;scale_float_0_100;norm_float_0_100;;;
406;Stereo;100.00;250; Rtary2; Stereo;scale_float_0_100;norm_float_0_100;;;
407;Out;0.00;251; Rtary2; Out;scale_float_20_20;norm_float_20_20;;;
408;Slow;30.00;252; Rtary2; Slow;scale_float_0_100;norm_float_0_100;;;
409;Fast;85.00;253; Rtary2; Fast;scale_float_0_100;norm_float_0_100;;;
410;RTime;50.00;254; Rtary2; RiseTime;scale_float_0_100;norm_float_0_100;;;
411;Cont;0;255; Rtary2; Controller;scale_int_0_3;norm_int_0_3;;;
